timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,69.4,70.2,69.21,69.67,69.67,39953600,0.0000,1.0
2023-06-15,69.1,69.65,68.36,69.56,69.56,31874100,0.0000,1.0
2023-06-14,68.99,69.61,68.49,69.02,69.02,53775600,0.0000,1.0
2023-06-13,68.3,68.57,67.61,67.83,67.83,34288100,0.0000,1.0
2023-06-12,67.8,67.8,66.7,67.12,67.12,26651200,0.0000,1.0
2023-06-09,69.67,69.8,68.25,68.36,68.36,30056800,0.0000,1.0
2023-06-07,67.6,68.68,67.4,68.67,68.67,27377500,0.0000,1.0
2023-06-06,67.8,68.39,67.4,67.6,67.6,31884200,0.0000,1.0
2023-06-05,68.47,68.48,66.63,67.38,67.38,21478500,0.0000,1.0
2023-06-02,68.0,68.2,67.37,67.94,67.94,39185700,0.0000,1.0
2023-06-01,64.94,65.77,64.15,65.16,65.16,51982400,0.0000,1.0
2023-05-31,64.28,64.87,63.51,63.81,63.81,103408900,0.0000,1.0
2023-05-30,66.32,66.32,63.87,64.28,64.28,39920700,0.0000,1.0
2023-05-29,67.34,67.7,65.74,65.83,65.83,17320700,0.0000,1.0
2023-05-26,66.75,67.04,65.91,66.33,66.33,38181700,0.0000,1.0
2023-05-25,65.8,65.8,64.78,64.85,64.85,36934900,0.0000,1.0
2023-05-24,65.78,65.78,64.82,65.05,65.05,33304700,0.0000,1.0
2023-05-23,67.5,67.69,66.51,66.56,66.56,39413300,0.0000,1.0
2023-05-22,68.4,68.9,67.77,68.1,68.1,18936200,0.0000,1.0
2023-05-19,70.5,70.61,69.13,69.21,69.21,33892200,0.0000,1.0
2023-05-18,69.88,70.32,69.12,69.98,69.98,23710600,0.0000,1.0
2023-05-17,69.12,70.24,68.81,69.88,69.88,30913100,0.0000,1.0
2023-05-16,69.0,69.2,67.6,67.64,67.64,23990300,0.0000,1.0
2023-05-15,69.3,70.13,68.92,69.06,69.06,21020000,0.0000,1.0
2023-05-12,67.9,68.57,67.41,68.08,68.08,17578100,0.0000,1.0
2023-05-11,68.0,68.29,67.36,68.01,68.01,27709000,0.0000,1.0
2023-05-10,70.89,71.06,68.69,69.36,69.36,24792600,0.0000,1.0
2023-05-09,69.5,70.71,68.68,70.69,70.69,18717400,0.0000,1.0
2023-05-08,70.7,71.16,69.85,69.97,69.97,24917600,0.0000,1.0
2023-05-06,67.69,69.25,67.23,69.04,69.04,27107300,0.0000,1.0
2023-05-05,67.69,69.25,67.23,69.04,69.04,27107300,0.0000,1.0
2023-05-04,69.05,69.33,66.71,66.86,66.86,35872300,0.0000,1.0
2023-05-03,69.94,70.08,68.86,69.0,69.0,19879700,0.0000,1.0
2023-05-02,71.3,71.6,69.32,69.54,69.54,37367900,0.0000,1.0
2023-04-29,71.63,72.42,71.06,72.4,72.4,33277500,0.0000,1.0
2023-04-28,71.63,72.42,71.06,72.4,72.4,33277500,0.0000,1.0
2023-04-27,69.7,71.78,69.18,71.76,71.76,31717800,0.0000,1.0
2023-04-26,71.0,71.43,70.27,70.27,70.27,25907200,0.0000,1.0
2023-04-25,71.2,71.2,69.71,70.0,70.0,31799200,0.0000,1.0
2023-04-24,72.2,72.54,71.59,71.96,71.96,29754000,0.0000,1.0
2023-04-20,75.9,76.46,74.53,74.66,74.66,31112800,0.0000,1.0
2023-04-19,77.3,77.62,75.02,76.25,76.25,31128000,0.0000,1.0
