timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-11-20,46.4,46.77,45.34,45.34,45.34,2280500,0.0000,1.0
2020-11-19,46.93,47.25,46.39,46.39,46.39,1754400,0.0000,1.0
2020-11-18,46.7,47.38,46.69,46.69,46.69,2185000,0.0000,1.0
2020-11-17,45.48,46.94,45.15,46.66,46.66,2603400,0.0000,1.0
2020-11-16,45.35,46.06,44.7,45.46,45.46,2594100,0.0000,1.0
2020-11-13,44.57,45.09,44.16,44.62,44.62,1871700,0.0000,1.0
2020-11-12,44.88,45.5,44.14,44.57,44.57,2885000,0.0000,1.0
2020-11-11,45.71,45.81,44.77,44.96,44.96,1733400,0.0000,1.0
2020-11-10,44.53,45.96,44.08,45.76,45.76,3193100,0.0000,1.0
2020-11-09,43.62,45.03,43.41,44.48,44.48,4237500,0.0000,1.0
2020-11-06,42.9,43.16,42.2,42.76,42.76,2903500,0.0000,1.0
2020-11-05,42.93,43.19,42.61,42.9,42.9,2053100,0.0000,1.0
2020-11-04,42.8,42.84,41.88,42.33,42.33,1814800,0.0000,1.0
2020-11-03,43.14,43.15,41.97,42.5,42.5,2776600,0.0000,1.0
2020-10-30,42.0,42.94,41.3,42.54,42.54,4354800,0.0000,1.0
2020-10-29,42.12,42.48,41.22,42.15,42.15,2597000,0.0000,1.0
2020-10-28,43.06,43.29,42.01,42.01,42.01,3000000,0.0000,1.0
2020-10-27,44.5,44.59,43.49,43.49,43.49,1953400,0.0000,1.0
2020-10-26,44.04,44.5,43.65,44.2,44.2,2023200,0.0000,1.0
2020-10-23,43.6,44.38,43.45,43.87,43.87,2356800,0.0000,1.0
2020-10-22,43.07,44.28,42.85,43.78,43.78,4261300,0.0000,1.0
2020-10-21,42.99,43.29,42.75,43.0,43.0,2592500,0.0000,1.0
2020-10-20,43.31,43.34,42.93,42.93,42.93,2566900,0.0000,1.0
2020-10-19,43.64,43.78,42.75,43.13,43.13,2055400,0.0000,1.0
2020-10-16,43.81,43.91,43.33,43.55,43.55,2041000,0.0000,1.0
2020-10-15,43.69,44.24,43.5,44.24,44.24,2034400,0.0000,1.0
2020-10-14,43.84,44.38,43.78,44.07,44.07,1948400,0.0000,1.0
2020-10-13,44.0,44.23,43.35,43.73,43.73,2189900,0.0000,1.0
2020-10-09,44.15,44.82,43.96,44.09,44.09,2308200,0.0000,1.0
2020-10-08,43.79,44.57,43.4,44.3,44.3,2235600,0.0000,1.0
2020-10-07,43.96,44.17,43.27,43.71,43.71,1880400,0.0000,1.0
2020-10-06,43.71,44.28,43.47,43.71,43.71,2727500,0.0000,1.0
2020-10-05,43.67,43.77,42.96,43.47,43.47,2498500,0.0000,1.0
2020-10-02,43.35,44.0,43.0,43.47,43.47,2706800,0.0000,1.0
2020-10-01,43.41,43.58,42.72,43.5,43.5,2661900,0.0000,1.0
2020-09-30,43.76,44.1,43.42,43.42,43.42,1857900,0.0000,1.0
2020-09-29,43.43,43.98,43.24,43.65,43.65,2004200,0.3375,1.0
