timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,15.09,15.49,14.87,15.35,15.35,343200,0.0000,1.0
2023-06-20,15.5,15.5,14.85,15.09,15.09,471900,0.0000,1.0
2023-06-19,15.34,15.7,14.83,15.6,15.6,507900,0.0000,1.0
2023-06-16,14.85,15.2,14.6,15.2,15.2,407900,0.0000,1.0
2023-06-15,15.02,15.06,14.65,14.91,14.91,359200,0.0000,1.0
2023-06-14,14.83,15.19,14.46,15.06,15.06,657000,0.0000,1.0
2023-06-13,14.79,14.84,14.51,14.78,14.78,394300,0.0000,1.0
2023-06-12,15.0,15.18,14.78,14.78,14.78,193200,0.0000,1.0
2023-06-09,14.75,15.24,14.65,15.19,15.19,328400,0.0000,1.0
2023-06-07,14.75,14.79,14.44,14.69,14.69,506500,0.0000,1.0
2023-06-06,14.78,15.27,14.71,14.74,14.74,865600,0.0000,1.0
2023-06-05,14.25,14.75,14.2,14.75,14.75,244900,0.0000,1.0
2023-06-02,14.29,14.65,14.12,14.25,14.25,570500,0.0000,1.0
2023-06-01,14.0,14.33,13.87,14.33,14.33,435000,0.0000,1.0
2023-05-31,13.8,14.23,13.65,14.09,14.09,447800,0.0000,1.0
2023-05-30,13.83,13.85,13.53,13.8,13.8,271900,0.0000,1.0
2023-05-29,14.2,14.27,13.63,13.63,13.63,249800,0.0000,1.0
2023-05-26,13.7,14.13,13.7,14.03,14.03,585300,0.0000,1.0
2023-05-25,13.51,13.9,13.43,13.61,13.61,478200,0.0000,1.0
2023-05-24,13.51,13.65,13.33,13.36,13.36,262600,0.0000,1.0
2023-05-23,13.4,13.86,13.16,13.48,13.48,573700,0.0000,1.0
2023-05-22,13.27,13.51,13.12,13.25,13.25,248700,0.0000,1.0
2023-05-19,13.2,13.68,13.1,13.43,13.43,473200,0.0000,1.0
2023-05-18,13.4,13.55,13.02,13.2,13.2,219700,0.0000,1.0
2023-05-17,13.21,13.41,13.06,13.4,13.4,285700,0.0000,1.0
2023-05-16,12.95,13.38,12.86,13.21,13.21,385600,0.0000,1.0
2023-05-15,13.19,13.22,12.72,13.11,12.93,278100,0.1800,1.0
2023-05-12,13.21,13.29,12.95,13.04,12.861,333900,0.0000,1.0
2023-05-11,13.01,13.36,12.84,13.23,13.0484,449400,0.0000,1.0
2023-05-10,12.61,13.4,12.34,13.1,12.9192,1300900,0.0000,1.0
2023-05-09,11.69,12.34,11.52,12.0,11.8344,1009700,0.0000,1.0
2023-05-08,11.22,11.65,11.1,11.47,11.3117,353100,0.0000,1.0
2023-05-06,11.02,11.35,10.97,11.27,11.1144,408900,0.0000,1.0
2023-05-05,11.02,11.35,10.97,11.27,11.1144,389800,0.0000,1.0
2023-05-04,10.61,11.13,10.55,11.03,10.8777,416400,0.0000,1.0
2023-05-03,10.55,10.79,10.39,10.64,10.4931,418500,0.0000,1.0
2023-05-02,10.6,10.82,10.39,10.39,10.2466,446400,0.0000,1.0
2023-04-29,10.59,10.87,10.48,10.52,10.3748,1707000,0.0000,1.0
2023-04-28,10.59,10.87,10.51,10.52,10.3748,1697500,0.0000,1.0
2023-04-27,10.54,10.75,10.39,10.67,10.5227,244700,0.0000,1.0
2023-04-26,10.26,10.69,10.26,10.6,10.4537,437000,0.0000,1.0
2023-04-25,10.22,10.4,10.1,10.3,10.1578,271500,0.0000,1.0
2023-04-24,10.31,10.5,10.27,10.33,10.1874,166000,0.0000,1.0
2023-04-20,10.26,10.51,10.15,10.44,10.2959,276600,0.0000,1.0
2023-04-19,10.45,10.45,10.21,10.26,10.1184,276800,0.0000,1.0
2023-04-18,10.66,10.69,10.21,10.45,10.3058,436300,0.0000,1.0
2023-04-17,10.4,10.55,10.15,10.55,10.4044,385400,0.0000,1.0
2023-04-14,10.12,10.39,9.86,10.29,10.148,284900,0.0000,1.0
2023-04-13,10.08,10.38,10.0,10.16,10.0198,281900,0.0000,1.0
2023-04-12,10.04,10.37,9.88,10.08,9.9409,487200,0.0000,1.0
2023-04-11,9.65,10.1,9.63,10.0,9.862,435200,0.0000,1.0
2023-04-10,9.55,9.84,9.54,9.65,9.5168,372600,0.0000,1.0
2023-04-06,9.93,9.95,9.45,9.6,9.4675,232800,0.0000,1.0
2023-04-05,9.6,9.9,9.6,9.89,9.7535,358000,0.0000,1.0
2023-04-04,9.55,9.87,9.54,9.6,9.4675,270200,0.0000,1.0
2023-04-03,9.7,9.75,9.46,9.55,9.4182,320000,0.0000,1.0
2023-03-31,9.56,9.64,9.33,9.62,9.4872,206600,0.0000,1.0
2023-03-30,9.42,9.64,9.36,9.64,9.5069,184600,0.0000,1.0
2023-03-29,9.36,9.37,9.04,9.37,9.2407,313400,0.0000,1.0
2023-03-28,9.38,9.52,9.36,9.47,9.3393,103600,0.0000,1.0
2023-03-27,9.09,9.38,9.02,9.38,9.2505,122400,0.0000,1.0
2023-03-24,9.01,9.4,8.97,9.12,8.9941,120800,0.0000,1.0
2023-03-23,9.49,9.61,9.0,9.05,8.9251,344600,0.0000,1.0
2023-03-22,9.31,9.78,9.31,9.59,9.4576,184300,0.0000,1.0
2023-03-21,9.4,9.46,9.18,9.34,9.2111,189500,0.0000,1.0
2023-03-20,9.43,9.48,9.23,9.38,9.2505,247600,0.0000,1.0
2023-03-17,9.66,9.76,9.39,9.39,9.2604,142200,0.0000,1.0
2023-03-16,9.82,9.96,9.55,9.85,9.714,232200,0.0000,1.0
2023-03-15,9.41,9.82,9.36,9.82,9.6844,227900,0.0000,1.0
2023-03-14,9.5,9.81,9.42,9.58,9.4478,211500,0.0000,1.0
2023-03-13,9.82,9.94,9.35,9.45,9.3196,306200,0.0000,1.0
2023-03-10,9.9,9.97,9.48,9.87,9.7338,569400,0.0000,1.0
2023-03-09,8.67,10.0,8.67,10.0,9.862,1280900,0.0000,1.0
2023-03-08,8.11,8.98,8.11,8.73,8.6095,544200,0.0000,1.0
2023-03-07,8.19,8.19,7.89,8.05,7.9389,260900,0.0000,1.0
2023-03-06,8.04,8.1,7.86,8.05,7.9389,190700,0.0000,1.0
2023-03-03,8.27,8.27,7.93,8.03,7.9192,337600,0.0000,1.0
2023-03-02,8.9,8.9,8.28,8.28,8.1657,258700,0.0000,1.0
2023-03-01,8.98,8.98,8.57,8.86,8.7377,346200,0.0000,1.0
2023-02-28,9.11,9.11,8.92,8.97,8.8462,111600,0.0000,1.0
2023-02-27,9.25,9.25,8.92,8.98,8.856,92400,0.0000,1.0
2023-02-24,9.13,9.24,9.03,9.11,8.9842,111800,0.0000,1.0
2023-02-23,9.15,9.29,9.12,9.15,9.0237,98800,0.0000,1.0
2023-02-22,8.98,9.32,8.98,9.07,8.9448,206500,0.0000,1.0
2023-02-17,9.06,9.2,9.0,9.04,8.9152,181500,0.0000,1.0
2023-02-16,9.19,9.23,8.85,9.13,9.004,340200,0.0000,1.0
2023-02-15,9.16,9.19,8.82,9.18,9.0533,318600,0.0000,1.0
2023-02-14,9.09,9.26,8.97,9.17,9.0434,215100,0.0000,1.0
2023-02-13,8.91,9.16,8.82,9.07,8.9448,186300,0.0000,1.0
2023-02-10,9.01,9.24,8.75,8.87,8.7476,366000,0.0000,1.0
2023-02-09,9.05,9.1,8.82,9.1,8.9744,306000,0.0000,1.0
2023-02-08,8.78,9.18,8.72,9.12,8.9941,406200,0.0000,1.0
2023-02-07,8.84,8.84,8.68,8.71,8.5898,127400,0.0000,1.0
2023-02-06,8.82,8.93,8.7,8.79,8.6687,279300,0.0000,1.0
2023-02-03,9.05,9.08,8.83,8.97,8.8462,348000,0.0000,1.0
2023-02-02,9.22,9.6,8.92,8.98,8.856,498700,0.0000,1.0
2023-02-01,9.3,9.34,8.89,9.23,9.1026,573100,0.0000,1.0
2023-01-31,9.02,9.34,9.02,9.33,9.2012,193300,0.0000,1.0
2023-01-30,9.17,9.32,9.02,9.03,8.9054,159200,0.0000,1.0
2023-01-27,9.14,9.32,9.01,9.17,9.0434,187200,0.0000,1.0
2023-01-26,9.06,9.21,8.95,9.21,9.0829,217900,0.0000,1.0
2023-01-25,8.76,9.1,8.72,9.06,8.9349,263700,0.0000,1.0
2023-01-24,8.67,8.88,8.67,8.77,8.6489,139500,0.0000,1.0
2023-01-23,8.85,9.02,8.71,8.71,8.5898,169300,0.0000,1.0
2023-01-20,8.6,8.92,8.6,8.87,8.7476,180200,0.0000,1.0
2023-01-19,8.66,8.81,8.66,8.77,8.6489,174000,0.0000,1.0
2023-01-18,8.83,9.09,8.74,8.74,8.6194,313800,0.0000,1.0
2023-01-17,8.82,8.97,8.67,8.87,8.7476,307400,0.0000,1.0
2023-01-16,8.78,8.81,8.58,8.79,8.6687,257200,0.0000,1.0
2023-01-13,9.0,9.0,8.7,8.75,8.6292,328600,0.0000,1.0
2023-01-12,9.09,9.27,8.97,9.01,8.8856,279700,0.0000,1.0
2023-01-11,9.0,9.2,8.89,9.11,8.9842,282500,0.0000,1.0
2023-01-10,8.98,9.19,8.9,9.0,8.8758,278300,0.0000,1.0
2023-01-09,9.2,9.2,8.82,8.93,8.8067,196900,0.0000,1.0
2023-01-06,9.01,9.21,8.82,9.12,8.9941,368200,0.0000,1.0
2023-01-05,8.88,9.29,8.83,9.27,9.142,445700,0.2630,1.0
2023-01-04,9.17,9.18,8.65,8.81,8.429,578800,0.0000,1.0
2023-01-03,9.1,9.47,8.78,9.21,8.8117,498300,0.0000,1.0
2022-12-29,9.29,9.65,9.19,9.19,8.7926,242500,0.0000,1.0
2022-12-28,9.19,9.38,8.86,9.28,8.8787,373900,0.0000,1.0
2022-12-27,9.21,9.21,8.85,9.19,8.7926,359800,0.0000,1.0
2022-12-26,9.27,9.43,9.15,9.24,8.8404,120900,0.0000,1.0
2022-12-23,9.56,9.57,9.17,9.27,8.8691,336000,0.0000,1.0
2022-12-22,9.11,9.55,9.03,9.55,9.137,381400,0.0000,1.0
2022-12-21,9.59,9.81,9.03,9.08,8.6873,426500,0.0000,1.0
2022-12-20,8.87,9.55,8.84,9.55,9.137,359300,0.0000,1.0
2022-12-19,8.82,9.26,8.82,8.96,8.5725,392600,0.0000,1.0
2022-12-16,9.34,9.36,8.81,8.81,8.429,380600,0.0000,1.0
2022-12-15,8.81,9.32,8.77,9.32,8.9169,293100,0.0000,1.0
2022-12-14,8.79,8.96,8.5,8.92,8.5342,300900,0.0000,1.0
2022-12-13,8.67,9.08,8.67,8.94,8.5534,323400,0.0000,1.0
2022-12-12,9.21,9.28,8.54,8.78,8.4003,393600,0.0000,1.0
2022-12-09,9.71,9.71,9.22,9.22,8.8213,177000,0.0000,1.0
2022-12-08,9.7,9.95,9.53,9.79,9.3666,362700,0.0000,1.0
2022-12-07,9.57,9.85,9.55,9.75,9.3283,185300,0.0000,1.0
2022-12-06,9.23,9.72,9.14,9.72,9.2996,289900,0.0000,1.0
2022-12-05,9.52,9.52,9.15,9.23,8.8308,229300,0.0000,1.0
2022-12-02,9.68,9.68,9.17,9.6,9.1848,294300,0.0000,1.0
2022-12-01,9.05,9.59,9.01,9.59,9.1753,460800,0.0000,1.0
2022-11-30,9.64,9.76,8.81,9.01,8.6203,583700,0.0000,1.0
2022-11-29,9.08,9.59,8.98,9.59,9.1753,337200,0.0000,1.0
2022-11-28,9.07,9.21,8.88,9.0,8.6108,218600,0.0000,1.0
2022-11-25,9.7,9.71,9.1,9.1,8.7064,309700,0.0000,1.0
2022-11-24,9.36,9.78,9.19,9.78,9.357,256700,0.0000,1.0
2022-11-23,9.3,9.47,9.13,9.21,8.8117,239300,0.0000,1.0
2022-11-22,9.56,9.77,9.24,9.4,8.9935,365800,0.0000,1.0
2022-11-21,9.11,9.53,9.02,9.52,9.1083,414400,0.0000,1.0
2022-11-18,9.47,9.64,9.11,9.19,8.7926,353100,0.0000,1.0
2022-11-17,9.45,9.56,9.2,9.37,8.9648,364600,0.0000,1.0
2022-11-16,10.0,10.2,9.41,9.68,9.2614,565100,0.0000,1.0
2022-11-14,10.05,10.4,9.95,10.0,9.5675,502300,0.0000,1.0
2022-11-11,10.5,10.5,10.09,10.1,9.6632,312900,0.0000,1.0
2022-11-10,10.85,10.85,10.28,10.45,9.9981,549000,0.0000,1.0
2022-11-09,11.29,11.51,10.85,10.95,10.4764,379400,0.0000,1.0
2022-11-08,11.11,11.47,10.9,11.47,10.974,232000,0.0000,1.0
2022-11-07,11.22,11.62,10.99,11.2,10.7156,282300,0.0000,1.0
2022-11-04,11.4,11.66,11.04,11.27,10.7826,277700,0.0000,1.0
2022-11-03,11.08,11.52,11.01,11.43,10.9357,351900,0.0000,1.0
2022-11-01,10.63,11.53,10.56,11.2,10.7156,556300,0.0000,1.0
2022-10-31,10.5,10.86,10.33,10.85,10.3808,334800,0.0000,1.0
2022-10-28,10.7,10.76,10.42,10.76,10.2947,135400,0.0000,1.0
2022-10-27,10.43,10.69,10.43,10.57,10.1129,156400,0.0000,1.0
2022-10-26,10.53,10.71,10.38,10.43,9.9789,124400,0.0000,1.0
2022-10-25,10.88,11.0,10.67,10.67,10.2086,129600,0.0000,1.0
