timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-10-15,8.01,8.18,7.95,8.14,8.14,37148300,0.0000,1.0
2021-10-14,8.32,8.37,7.94,8.0,8.0,31792900,0.0000,1.0
2021-10-13,7.96,8.27,7.89,8.21,8.21,32522100,0.0000,1.0
2021-10-11,8.06,8.16,7.88,7.91,7.91,25340400,0.0000,1.0
2021-10-08,7.87,8.34,7.85,8.06,8.06,40514900,0.0000,1.0
2021-10-07,8.15,8.27,7.79,7.79,7.79,29142200,0.0000,1.0
2021-10-06,7.61,8.13,7.43,8.12,8.12,50481900,0.0000,1.0
2021-10-05,7.77,8.1,7.65,7.85,7.85,27657900,0.0000,1.0
2021-10-04,8.13,8.13,7.7,7.7,7.7,32981500,0.0000,1.0
2021-10-01,7.75,8.45,7.62,8.29,8.29,46349200,0.0000,1.0
2021-09-30,7.95,8.02,7.61,7.71,7.71,45379300,0.0000,1.0
2021-09-29,8.08,8.25,7.86,7.86,7.86,30155400,0.0000,1.0
2021-09-28,8.0,8.12,7.8,7.91,7.91,36026000,0.0000,1.0
2021-09-27,8.52,8.57,8.06,8.1,8.1,30954500,0.0000,1.0
2021-09-24,8.42,8.51,8.29,8.5,8.5,21296900,0.0000,1.0
2021-09-23,8.58,8.83,8.5,8.59,8.59,32344900,0.0000,1.0
2021-09-22,9.0,9.04,8.4,8.57,8.57,58093600,0.0000,1.0
2021-09-21,8.08,8.88,8.0,8.78,8.78,68174300,0.0000,1.0
2021-09-20,8.23,8.38,7.78,7.89,7.89,47833200,0.0000,1.0
2021-09-17,8.65,8.69,8.27,8.46,8.46,46625800,0.0000,1.0
2021-09-16,8.68,8.87,8.48,8.69,8.69,31132100,0.0000,1.0
2021-09-15,9.09,9.13,8.74,8.78,8.78,25409000,0.0000,1.0
2021-09-14,9.28,9.44,9.03,9.05,9.05,25167300,0.0000,1.0
2021-09-13,9.23,9.4,9.13,9.2,9.2,25554600,0.0000,1.0
2021-09-10,9.77,9.87,9.02,9.02,9.02,40617300,0.0000,1.0
2021-09-09,9.09,9.55,8.66,9.5,9.5,60402200,0.0000,1.0
2021-09-08,9.83,9.85,9.01,9.02,9.02,39752400,0.0000,1.0
2021-09-06,9.55,9.95,9.45,9.95,9.95,17727700,0.0000,1.0
