timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,18.81,18.92,18.36,18.61,18.61,4939900,0.0000,1.0
2023-06-15,17.92,18.97,17.71,18.94,18.94,8761000,0.0000,1.0
2023-06-14,16.36,17.94,16.25,17.94,17.94,6194200,0.0000,1.0
2023-06-13,16.98,17.0,16.19,16.33,16.33,3526300,0.0000,1.0
2023-06-12,16.6,17.15,16.53,16.92,16.92,3506800,0.0000,1.0
2023-06-09,16.83,16.91,16.12,16.63,16.63,4486400,0.0000,1.0
2023-06-07,16.25,17.47,16.21,16.74,16.74,6683000,0.0000,1.0
2023-06-06,15.34,16.21,15.0,16.11,16.11,7047100,0.0000,1.0
2023-06-05,14.99,15.37,14.7,15.32,15.32,3198100,0.0000,1.0
2023-06-02,15.3,15.5,14.81,14.97,14.97,5053600,0.0000,1.0
2023-06-01,14.18,15.5,14.1,14.98,14.98,11016800,0.0000,1.0
2023-05-31,14.11,14.35,13.74,14.07,14.07,5121000,0.0000,1.0
2023-05-30,14.42,14.58,14.16,14.19,14.19,5256800,0.0000,1.0
2023-05-29,14.1,14.4,14.0,14.33,14.33,3662700,0.0000,1.0
2023-05-26,14.12,14.16,13.66,14.08,14.08,3132000,0.0000,1.0
2023-05-25,13.65,14.28,13.65,13.85,13.85,4379500,0.0000,1.0
2023-05-24,13.5,13.6,13.15,13.37,13.37,5569000,0.0000,1.0
2023-05-23,13.4,13.92,13.22,13.6,13.6,7623800,0.0000,1.0
2023-05-22,13.15,13.65,13.03,13.4,13.4,3853700,0.0000,1.0
2023-05-19,13.13,13.55,12.89,13.12,13.12,8069000,0.0000,1.0
2023-05-18,12.48,13.41,12.45,13.06,13.06,9566300,0.0000,1.0
2023-05-17,11.86,12.57,11.81,12.57,12.57,4865100,0.0000,1.0
2023-05-16,12.19,12.38,11.76,11.86,11.86,5768400,0.0000,1.0
2023-05-15,12.44,12.68,12.19,12.3,12.3,6061600,0.0000,1.0
2023-05-12,12.35,12.96,12.12,12.44,12.44,8867900,0.0000,1.0
2023-05-11,11.28,12.38,11.28,12.31,12.31,14251000,0.0000,1.0
2023-05-10,10.37,11.63,10.11,11.39,11.39,18214600,0.0000,1.0
2023-05-09,9.46,9.97,9.19,9.2,9.2,6261900,0.0000,1.0
2023-05-08,9.32,9.58,9.27,9.48,9.48,3273200,0.0000,1.0
2023-05-06,8.63,9.37,8.58,9.27,9.27,6740400,0.0000,1.0
2023-05-05,8.63,9.37,8.58,9.27,9.27,6740400,0.0000,1.0
2023-05-04,8.51,8.66,8.13,8.57,8.57,5150000,0.0000,1.0
2023-05-03,7.83,8.35,7.76,8.17,8.17,4156800,0.0000,1.0
2023-05-02,8.11,8.18,7.65,7.81,7.81,4411400,0.0000,1.0
2023-04-29,7.96,8.16,7.81,8.12,8.12,2509300,0.0000,1.0
2023-04-28,7.96,8.16,7.81,8.12,8.12,2509300,0.0000,1.0
2023-04-27,7.81,7.98,7.63,7.96,7.96,3188800,0.0000,1.0
2023-04-26,8.0,8.05,7.75,7.79,7.79,1908000,0.0000,1.0
2023-04-25,7.86,8.05,7.7,7.94,7.94,3213900,0.0000,1.0
2023-04-24,7.59,7.93,7.52,7.86,7.86,2068300,0.0000,1.0
2023-04-20,7.36,7.72,7.21,7.63,7.63,3655200,0.0000,1.0
2023-04-19,7.86,7.86,7.33,7.36,7.36,4757300,0.0000,1.0
2023-04-18,8.18,8.27,7.88,7.92,7.92,2391400,0.0000,1.0
2023-04-17,8.16,8.38,8.11,8.14,8.14,1643400,0.0000,1.0
2023-04-14,8.24,8.31,7.99,8.16,8.16,1958600,0.0000,1.0
2023-04-13,8.15,8.45,8.11,8.28,8.28,2303100,0.0000,1.0
2023-04-12,8.04,8.34,7.97,8.11,8.11,3671700,0.0000,1.0
2023-04-11,7.51,8.0,7.4,7.99,7.99,6554900,0.0000,1.0
2023-04-10,7.08,7.32,7.04,7.26,7.26,2897600,0.0000,1.0
2023-04-06,7.02,7.2,6.87,7.07,7.07,2619000,0.0000,1.0
2023-04-05,6.99,7.11,6.81,7.08,7.08,4060000,0.0000,1.0
2023-04-04,7.02,7.24,6.9,6.96,6.96,3008400,0.0000,1.0
2023-04-03,7.04,7.15,6.73,6.93,6.93,4863300,0.0000,1.0
2023-03-31,7.3,7.51,6.98,7.05,7.05,4418800,0.0000,1.0
2023-03-30,6.89,7.32,6.89,7.29,7.29,4699400,0.0000,1.0
2023-03-29,6.97,7.02,6.48,6.81,6.81,4903800,0.0000,1.0
2023-03-28,6.93,7.09,6.81,6.91,6.91,2285500,0.0000,1.0
2023-03-27,7.26,7.36,6.86,7.0,7.0,5172700,0.0000,1.0
2023-03-24,6.75,7.55,6.75,7.23,7.23,11082100,0.0000,1.0
2023-03-23,7.23,7.27,6.51,6.55,6.55,4686000,0.0000,1.0
2023-03-22,7.37,7.91,7.13,7.19,7.19,7140100,0.0000,1.0
2023-03-21,7.16,7.44,7.04,7.35,7.35,4435000,0.0000,1.0
2023-03-20,7.68,7.81,7.09,7.11,7.11,4251000,0.0000,1.0
2023-03-17,7.29,7.63,7.17,7.57,7.57,4465000,0.0000,1.0
2023-03-16,7.36,7.55,7.06,7.36,7.36,8313900,0.0000,1.0
2023-03-15,7.03,7.45,6.98,7.36,7.36,3634500,0.0000,1.0
2023-03-14,7.35,7.48,7.11,7.22,7.22,3214300,0.0000,1.0
2023-03-13,7.12,7.4,7.02,7.38,7.38,2979500,0.0000,1.0
2023-03-10,7.48,7.48,7.1,7.28,7.28,3486700,0.0000,1.0
2023-03-09,7.55,7.9,7.46,7.57,7.57,6106900,0.0000,1.0
2023-03-08,6.74,7.68,6.66,7.56,7.56,8911800,0.0000,1.0
2023-03-07,6.77,6.98,6.65,6.74,6.74,6455400,0.0000,1.0
2023-03-06,6.7,6.8,6.58,6.73,6.73,4862500,0.0000,1.0
2023-03-03,6.68,6.92,6.64,6.67,6.67,5038900,0.0000,1.0
2023-03-02,6.8,6.97,6.69,6.69,6.69,3788700,0.0000,1.0
2023-03-01,7.11,7.16,6.77,6.84,6.84,5942400,0.0000,1.0
2023-02-28,7.53,7.53,7.05,7.05,7.05,5741900,0.0000,1.0
2023-02-27,7.69,7.75,7.38,7.48,7.48,4301200,0.0000,1.0
2023-02-24,7.66,7.79,7.53,7.57,7.57,2323100,0.0000,1.0
2023-02-23,7.8,7.96,7.63,7.69,7.69,3599300,0.0000,1.0
2023-02-22,8.09,8.3,7.6,7.69,7.69,4697900,0.0000,1.0
